"country","SFTGcode","COW","risk_in_2019","risk_in_2019_20","anymk.ongoing","anymk.ever","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","countryage.ln","popsize.ln.combined","imr.sqrt","gdppcgrowth.combined","ios.iccpr1","includesnonstate","durable.ln","minorityrule","elf.ethnic","battledeaths.ln","candidaterestriction","partyban","judicialreform","religiousfreedom","pol_killing_approved","freemove_men4","freemove_women4","freediscussion","social_inequality","even_civilrights","repress_civilsoc","social_power_dist","ses_power_dist","tradeshare.ln.combined","coup.try.5yr","polity2.fl.2","polity2.fl.3"
"Mexico","MEX",70,0.006191,0.008269,0,0,0,0,0,0,0,5.28826703069454,18.6452149607756,3.3166247903554,0.00975661281354669,1,1,3.09104245335832,0,0.54,0,1,4,1,4,0,1,1,0.909,0,0,0,0,0.06,-1.946666943382,0,0,1
"Ghana","GHA",452,0.006095,0.008387,0,0,1,0,0,0,0,4.12713438504509,17.2072430926901,5.90762219509677,0.0449415298612431,1,1,2.89037175789616,0,0.67,0,1,4,2,4,0,1,1,0.857,0,0,0,0,1.042,-1.84160056150067,0,0,1
"Zambia","ZAM",551,0.0058,0.00764,0,0,1,0,0,0,0,4.00733318523247,16.6735101805754,6.35609943282828,0.0245969049116775,1,1,2.89037175789616,0,0.78,0,1,4,1,4,0,1,1,0.65,0,0,0,0,0.437,-2.01271904015499,0,0,1
"Ecuador","ECU",130,0.00563,0.006261,0,0,0,0,0,0,0,5.24174701505964,16.6581994465305,3.4928498393146,0.00467099372874929,1,1,2.94443897916644,0,0.66,0,1,4,1,4,0,1,1,0.959,0,1,0,0,0.826,-2.5654526198007,0,1,0
"Liberia","LBR",450,0.005624,0.009487,0,1,1,0,0,0,0,5.14749447681345,15.428838973476,7.3143694191639,0.00339706897404258,0,1,2.56494935746154,0,0.91,0,1,4,1,4,0,1,1,0.806,0,0,0,0,1.197,-1.49509612469055,0,0,1
"Kyrgyzstan","KYR",703,0.005555,0.007392,0,0,0,0,0,0,1,3.3322045101752,15.6875127790945,4.11096095821889,0.0221665000231957,1,1,2.07944154167984,0,0.68,0,1,4,1,2,0,1,1,0.819,0,0,0,1,0.888,-1.69235751378342,0,0,1
"Peru","PER",135,0.005418,0.008321,0,1,0,0,0,0,0,4.9416424226093,17.2786573051416,3.33166624979154,0.0260935533314105,1,1,2.89037175789616,0,0.66,0,1,4,1,4,0,1,1,0.871,0,0,0,1,1.167,-2.49343241332318,0,0,1
"Fiji","FJI",950,0.005373,0.005999,0,0,0,1,0,0,0,3.89182029811063,13.9319317965988,4.6475800154489,0.0345286431241052,0,1,1.6094379124341,0,0.55,0,1,4,1,3,0,1,1,0.715,0,0,0,1,0.834,-1.11867546676645,0,1,0
"Sri Lanka","SRI",780,0.005194,0.007382,0,1,0,0,0,0,1,3.85014760171006,16.8928919085953,2.5298221281347,0.0197693249436189,1,1,0,0,0.42,0,1,4,1,4,0,1,1,0.845,0,1,0,1,0.299,-2.40750911627097,0,0,1
"Senegal","SEN",433,0.005161,0.006343,0,0,1,0,0,0,0,4.07753744390572,16.5846050325483,5.63914887194867,0.0490854277946114,1,1,2.94443897916644,0,0.69,0,1,4,1,3,0,1,1,0.862,0,0,0,0,0.842,-2.3074817113287,0,0,1
"Guatemala","GUA",90,0.005059,0.006026,0,1,0,0,0,0,0,5.19295685089021,16.6675837820747,4.70106370941726,0.0192407965944603,1,1,3.13549421592915,1,0.51,0,1,4,0,4,0,1,1,0.736,0,0,0,1,-0.161,-2.56692502668312,0,0,1
"Argentina","ARG",160,0.004833,0.006287,0,1,0,0,0,0,0,5.31320597904179,17.6064291787429,2.96647939483827,-0.0274023115495966,1,1,3.58351893845611,0,0.26,0,1,4,1,4,0,1,1,0.948,0,0,0,0,1.258,-3.00644824376488,0,0,1
"Malaysia","MAL",820,0.004551,0.005557,0,0,0,1,0,0,0,4.12713438504509,17.2642657152527,2.58843582110896,0.032250989682477,0,1,2.39789527279837,1,0.59,0,1,4,1,3,0,1,1,0.699,0,0,0,1,1.989,-1.39594583874705,0,0,1
"Dominican Republic","DOM",42,0.004545,0.005733,0,1,0,0,0,0,0,5.03695260241363,16.1922214592126,4.90917508345343,0.0506055532482228,1,1,3.13549421592915,0,0.43,0,1,4,1,4,0,1,1,0.936,0,0,0,0,0.345,-2.36399570481957,0,0,1
"Malawi","MAW",553,0.004148,0.005934,0,1,1,0,0,0,0,4.00733318523247,16.7174916992725,5.94138031100518,0.0221665000231951,1,1,3.2188758248682,0,0.67,0,0,4,1,4,0,1,1,0.779,0,1,0,1,0.772,-2.19247383292913,0,0,1
"Tunisia","TUN",616,0.004076,0.005607,0,0,0,0,0,1,0,4.14313472639153,16.2749330110046,3.82099463490856,0.0139690225430878,1,1,1.6094379124341,0,0.04,0,1,4,2,3,0,1,1,0.767,0,0,0,0,1.116,-1.73719666629635,0,0,1
"United States of America","USA",2,0.004055,0.006049,0,0,0,0,0,0,0,5.46383180502561,19.5966701112399,2.36643191323985,0.0168671609341281,0,1,5.34710753071747,0,0.49,0,1,4,1,4,0,1,1,0.957,0,1,0,0,0.441,-3.156355575639,0,0,1
